Type;Length of array;Execution time;Compairings;Swaps;;
BubbleSort;10000;403,66;49987740;25029675;;403,66
SelectionSort;10000;269,74;49995000;9995;;
InsertionSort;10000;263,3;25039669;25029675;;
MergeSort;10000;4,76;120489;0;;
QuickSort;10000;4,09;155791;95291;;
HeapSort;10000;8,2;235260;124103;;
ShellSort;10000;7,85;263709;148817;;
CountingSort;10000;7311,68;19998;0;;
TimSort;10000;1,9;172274;77815;;
;;;;;;
Type;Length of array;Execution time;Compairings;Swaps;;
BubbleSort;10000;599;49987740;25029675;;599
SelectionSort;10000;269,74;49995000;9995;;
InsertionSort;10000;263,3;25039669;25029675;;
MergeSort;10000;4,76;120489;0;;
QuickSort;10000;4,09;155791;95291;;
HeapSort;10000;8,2;235260;124103;;
ShellSort;10000;7,85;263709;148817;;
CountingSort;10000;7311,68;19998;0;;
TimSort;10000;1,9;172274;77815;;
;;;;;;
Type;Length of array;Execution time;Compairings;Swaps;;
BubbleSort;10000;999;49987740;25029675;;
SelectionSort;10000;269,74;49995000;9995;;
InsertionSort;10000;263,3;25039669;25029675;;
MergeSort;10000;4,76;120489;0;;
QuickSort;10000;4,09;155791;95291;;
HeapSort;10000;8,2;235260;124103;;
ShellSort;10000;7,85;263709;148817;;
CountingSort;10000;7311,68;19998;0;;
TimSort;10000;1,9;172274;77815;;
;;;;;;
Type;Length of array;Execution time;Compairings;Swaps;;
BubbleSort;10000;100;49987740;25029675;;
SelectionSort;10000;269,74;49995000;9995;;
InsertionSort;10000;263,3;25039669;25029675;;
MergeSort;10000;4,76;120489;0;;
QuickSort;10000;4,09;155791;95291;;
HeapSort;10000;8,2;235260;124103;;
ShellSort;10000;7,85;263709;148817;;
CountingSort;10000;7311,68;19998;0;;
TimSort;10000;1,9;172274;77815;;
